beecrowd_id,1021,1024,1043,1095,1132,1179,1323
660372,1,,1,1,1,,1
660403,1,1,1,1,1,1,1
660485,1,1,1,1,1,1,1
660520,1,1,1,1,1,1,1
660352,1,1,1,1,1,1,1
655840,1,1,1,1,1,1,1
659921,,,0,1,0,1,0
659747,1,1,1,1,1,1,1
660443,1,1,1,1,1,1,1
659079,1,1,1,1,1,1,1
657061,1,1,1,1,1,1,1
660523,,,1,1,1,1,1
660543,1,1,1,1,1,1,1
278636,1,1,1,1,1,1,1
657993,1,1,1,1,1,1,1
659802,1,1,1,1,1,1,1
660501,1,1,1,1,1,1,1
642400,1,1,1,1,1,1,1
661228,1,0,1,1,1,,1
659728,1,1,1,1,1,1,1
659903,1,1,1,1,1,1,1
657742,1,1,1,1,1,1,1
659448,1,1,1,1,1,1,1
660465,1,1,1,1,1,1,1
660441,1,1,1,1,1,1,1
660440,1,1,1,1,1,1,1
660678,1,,1,1,1,1,1
538425,1,0,1,1,1,1,1
652046,1,,1,1,1,1,1
517570,0,1,1,0,0,1,1
641576,,,1,1,1,0,1
394731,1,,1,1,1,1,1
630643,1,1,1,1,1,,1
655819,1,,1,1,1,1,1
660435,1,1,1,1,1,1,1
641580,1,1,1,1,1,1,1
660862,1,1,1,1,1,1,1
641699,1,1,1,1,1,1,1
660558,1,1,1,1,1,1,1
